ID,"Product ID","Product name",URL,Categories,"Short description",Description,"Is virtual",Stock,Price,"Allow out of stock purchases",Weight,Height,Width,Length
1,CITY001,"Cruiser 1000",cruiser-1000,Citybikes,"The ideal city bike","<p>Find your passion for city biking on Cruisers’ Model 1000. Whether you want to ride to the train or commute to work this is the right bike for you. The aluminium frame is feather light and durable.</p>",0,0,795.00€,0,9000,,,
2,CITY002,"Cruiser 1500",cruiser-1500,Citybikes,"Think pink","<p>Find your passion for city biking on Cruisers’ Model 1500. Whether you want to ride to the train or commute to work this is the right bike for you. The aluminium frame is feather light and durable.</p>",0,0,795.00€,0,7000,,,
3,MTB002,"Cruiser 3000",cruiser-3000,Mountainbikes,"Hard tail bike","<p>Find your passion for mountain biking on Cruisers’ Model 3000. Whether you want to ride enduro, all-mountain, or downhill - and there's nothing stopping you from trying them all - this fun and friendly Cruiser Suspension Bike will help you climb and descend. This carbon mountain bike comes with fun guaranteed.</p>",0,0,"1,495.00€",0,14000,,,
4,MTB003,"Cruiser 3500",cruiser-3500,Mountainbikes,"Hard tail bike","<p>Find your passion for mountain biking on Cruisers’ Model 3500. Whether you want to ride enduro, all-mountain, or downhill - and there's nothing stopping you from trying them all - this fun and friendly Cruiser Suspension Bike will help you climb and descend. This carbon mountain bike comes with fun guaranteed.</p>",0,0,"1,495.00€",0,14000,,,
5,MTB001,"Cruiser 5000",cruiser-5000,Mountainbikes,"The ideal beginner bike","<p>Find your passion for mountain biking on Cruisers’ Model 5000. Whether you want to ride enduro, all-mountain, or downhill - and there's nothing stopping you from trying them all - this fun and friendly Cruiser Suspension Bike will help you climb and descend. This carbon mountain bike comes with fun guaranteed.</p>",0,0,"1,495.00€",0,14000,,,
6,SHIRT001,"Red Shirt",red-shirt,Clothing,Unisex,"<p>This is just a generic shirt. Brandless and cheap.</p>",0,0,11.90€,0,100,,,
7,SHIRT002,"Stormrider Jersey Men",stormrider-jersey,Clothing,Polyester,"<p>The fast-drying and breathable materials of the Stormrider Jersey ensure the perfect balance between durability, abrasion resistance and comfort. </p>",0,0,69.90€,0,120,,,
8,GIFTCARD50,"50 € Gift Card",gift-card-50,"Gift cards","Valid for this store","<p>This is a custom gift card for you to print at home.</p>",1,92,50.00€,1,0,,,
9,GIFTCARD100,"100 € Gift Card",gift-card-100,"Gift cards","Valid for this store","<p>This is a custom gift card for you to print at home.</p>",1,100,100.00€,1,0,,,
10,GIFTCARD200,"200 € Gift Card",gift-card-200,"Gift cards","Valid for this store","<p>This is a custom gift card for you to print at home.</p>",1,200,200.00€,1,0,,,
